Sample	Estandardized_sample_nameR
6AC07-X020047-51	6AC07_X020047_51
6AC07-X020047-7	6AC07_X020047_7
6AC07-X04M199-28	6AC07_X04M199_28
6AC07-X04M199-40	6AC07_X04M199_40
6AC07-X04M199-48	6AC07_X04M199_48
6AC07-X04M248-16	6AC07_X04M248_16
6AC07-X04M248-43	6AC07_X04M248_43
6AC07-X04M286-10	6AC07_X04M286_10
6AC07-X04M286-19	6AC07_X04M286_19
6AC07-X04M286-3	6AC07_X04M286_3
6AC07-X04M286-9	6AC07_X04M286_9
2AC08-04LPA2-33	2AC08_04LPA2_33
2AC08-06HR1285-17	2AC08_06HR1285_17
2AC08-06HR1285-2	2AC08_06HR1285_2
2AC08-06HR1285-52	2AC08_06HR1285_52
2AC08-06HR3509-10	2AC08_06HR3509_10
2AC08-06HR3529-10	2AC08_06HR3529_10
2AC08-06HR3529-38	2AC08_06HR3529_38
2AC08-06HR4137-15	2AC08_06HR4137_15
2AC08-06HR4137-2	2AC08_06HR4137_2
2AC08-06HR4137-9	2AC08_06HR4137_9
2AC08-X04F001-13	2AC08_X04F001_13
2AC08-X04F006-19	2AC08_X04F006_19
2AC08-X04F013-26	2AC08_X04F013_26
2AC08-X04F017-3	2AC08_X04F017_3
2AC08-X04F023-4	2AC08_X04F023_4
2AC08-X04F024-3	2AC08_X04F024_3
2AC08-X04F026-21	2AC08_X04F026_21
2AC08-X04F027-19	2AC08_X04F027_19
2AC08-X04F027-8	2AC08_X04F027_8
2AC08-X04F067-4	2AC08_X04F067_4
2AC08-X04F074-16	2AC08_X04F074_16
2AC08-X04F078-17	2AC08_X04F078_17
2AC08-X04F080-28	2AC08_X04F080_28
2AC08-X04F088-15	2AC08_X04F088_15
2AC08-X04F088-27	2AC08_X04F088_27
2AC08-X04F109-53	2AC08_X04F109_53
2AC08-X04M113-29	2AC08_X04M113_29
2AC08-X04M116-11	2AC08_X04M116_11
2AC08-X04M116-47	2AC08_X04M116_47
2AC08-X04M132-1	2AC08_X04M132_1
2AC08-X04M132-32	2AC08_X04M132_32
2AC08-X04M132-48	2AC08_X04M132_48
2AC08-X04M176-53	2AC08_X04M176_53
2AC08-X04M278-10	2AC08_X04M278_10
2AC08-X04M278-55	2AC08_X04M278_55
2AC08-X04M282-16	2AC08_X04M282_16
2AC08-X04M282-52	2AC08_X04M282_52
2AC08-X05F014-8	2AC08_X05F014_8
2AC08-X05F028-3	2AC08_X05F028_3
2AC08-X05F030-29	2AC08_X05F030_29
2AC08-X05F030-54	2AC08_X05F030_54
2AC08-X05F030-8	2AC08_X05F030_8
2AC08-X05F042-1	2AC08_X05F042_1
2AC08-X05F042-18	2AC08_X05F042_18
2AC08-X05F042-33	2AC08_X05F042_33
2AC08-X05F042-46	2AC08_X05F042_46
2AC08-X05F042-49	2AC08_X05F042_49
2AC08-X05F061-27	2AC08_X05F061_27
2AC08-X05F061-34	2AC08_X05F061_34
2AC08-X05F061-38	2AC08_X05F061_38
2AC08-X05F061-42	2AC08_X05F061_42
2AC08-X05F061-7	2AC08_X05F061_7
2AC08-X05F064-37	2AC08_X05F064_37
2AC08-X05F064-44	2AC08_X05F064_44
2AC08-X05F065-12	2AC08_X05F065_12
2AC08-X05F065-15	2AC08_X05F065_15
2AC08-X05F065-20	2AC08_X05F065_20
2AC08-X05F065-21	2AC08_X05F065_21
2AC08-X05F065-25	2AC08_X05F065_25
2AC08-X05F075-44	2AC08_X05F075_44
2AC08-X05F075-7	2AC08_X05F075_7
2AC08-X05M006-32	2AC08_X05M006_32
2AC08-X05M010-39	2AC08_X05M010_39
2AC08-X05M010-7	2AC08_X05M010_7
2AC08-X05M010-80	2AC08_X05M010_80
2AC08-X05M010-86	2AC08_X05M010_86
2AC08-X05M011-36	2AC08_X05M011_36
2AC08-X05M011-4	2AC08_X05M011_4
2AC08-X05M011-46	2AC08_X05M011_46
2AC08-X05M011-64	2AC08_X05M011_64
2AC08-X05M012-50	2AC08_X05M012_50
2AC08-X05M012-78	2AC08_X05M012_78
2AC08-X05M027-18	2AC08_X05M027_18
2AC08-X05M027-30	2AC08_X05M027_30
2AC08-X05M027-69	2AC08_X05M027_69
2AC08-X05M027-94	2AC08_X05M027_94
2AC08-X05M028-12	2AC08_X05M028_12
2AC08-X05M028-55	2AC08_X05M028_55
2AC08-X05M028-61	2AC08_X05M028_61
2AC08-X05M028-76	2AC08_X05M028_76
2AC08-X05M030-40	2AC08_X05M030_40
2AC08-X05M030-72	2AC08_X05M030_72
2AC08-X05M030-73	2AC08_X05M030_73
2AC08-X05M031-14	2AC08_X05M031_14
2AC08-X05M031-47	2AC08_X05M031_47
2AC08-X05M031-59	2AC08_X05M031_59
2AC08-X05M031-68	2AC08_X05M031_68
2AC08-X05M038-41	2AC08_X05M038_41
2AC08-X05M038-60	2AC08_X05M038_60
2AC08-X05M039-29	2AC08_X05M039_29
2AC08-X05M039-31	2AC08_X05M039_31
2AC08-X05M041-24	2AC08_X05M041_24
2AC08-X05M041-48	2AC08_X05M041_48
2AC08-X05M041-52	2AC08_X05M041_52
2AC08-X05M046-21	2AC08_X05M046_21
2AC08-X05M047-3	2AC08_X05M047_3
2B00-0089E	2B00_0089E
2B00-0089M	2B00_0089M
2B00-0342	2B00_0342
2B01-2010	2B01_2010
2B01-2015	2B01_2015
2B02-2925	2B02_2925
2B02-2941	2B02_2941
2B03-3560	2B03_3560
2B03-3604	2B03_3604
2B03-3625	2B03_3625
2B03-3631	2B03_3631
2B03-3669	2B03_3669
2B03-3681	2B03_3681
2B03-3719	2B03_3719
2B03-3732	2B03_3732
2B03-3734	2B03_3734
2B03-3785	2B03_3785
2B03-3830	2B03_3830
2B03-3859	2B03_3859
2B03-3882	2B03_3882
2B03-3883	2B03_3883
2B03-3903	2B03_3903
2B03-3954	2B03_3954
2B97-4299-8	2B97_4299_8
2B99-2316	2B99_2316
2B99-2316-4	2B99_2316_4
2B99-2657	2B99_2657
2B99-2763-10	2B99_2763_10
2B99-2766-10	2B99_2766_10
2B99-2771-1	2B99_2771_1
2B99-2771-9	2B99_2771_9
6B01-2157	6B01_2157
6B01-2208	6B01_2208
6B01-2218	6B01_2218
6B01-2221	6B01_2221
6B01-2513	6B01_2513
6B02-3120	6B02_3120
6B02-3165	6B02_3165
6B02-3200	6B02_3200
6B02-3206	6B02_3206
6B02-3295	6B02_3295
6B02-3306	6B02_3306
6B02-3316	6B02_3316
6B02-3338	6B02_3338
6B02-3339	6B02_3339
6B02-3435	6B02_3435
6B02-3496	6B02_3496
6B03-4079	6B03_4079
6B03-4098	6B03_4098
6B03-4105	6B03_4105
6B03-4177	6B03_4177
6B03-4264	6B03_4264
6B03-4265	6B03_4265
6B03-4301	6B03_4301
6B03-4302	6B03_4302
6B03-4304	6B03_4304
6B03-4371	6B03_4371
6B03-4375	6B03_4375
6B03-4411	6B03_4411
6B03-4478	6B03_4478
6B99-6774	6B99_6774
CONRAD	CONRAD
LEGACY	LEGACY
MERIT	MERIT
TRADITION	TRADITION
2B04-0026	2B04_0026
2B04-0028	2B04_0028
2B04-0080	2B04_0080
2B04-0109	2B04_0109
2B04-0112	2B04_0112
2B04-0133	2B04_0133
2B04-0173	2B04_0173
2B04-0175	2B04_0175
2B04-0223	2B04_0223
2B04-0228	2B04_0228
2B04-0279	2B04_0279
2B04-0294	2B04_0294
2B04-0302	2B04_0302
2B04-0307	2B04_0307
2B04-0313	2B04_0313
2B05-0442	2B05_0442
2B05-0479	2B05_0479
2B05-0536	2B05_0536
2B05-0596	2B05_0596
2B05-0614	2B05_0614
2B05-0615	2B05_0615
2B05-0655	2B05_0655
2B05-0672	2B05_0672
2B05-0676	2B05_0676
2B05-0681	2B05_0681
2B05-0684	2B05_0684
2B05-0690	2B05_0690
2B05-0716	2B05_0716
2B05-0719	2B05_0719
2B05-0727	2B05_0727
2B05-0728	2B05_0728
2B05-0729	2B05_0729
2B05-0733	2B05_0733
2B05-0785	2B05_0785
2B05-0790	2B05_0790
2B05-0798	2B05_0798
2B05-0799	2B05_0799
2B05-0802	2B05_0802
2B05-0811	2B05_0811
2B05-0813	2B05_0813
2B05-0814	2B05_0814
2B05-0825	2B05_0825
2B05-0829	2B05_0829
2B05-0830	2B05_0830
2B05-0831	2B05_0831
2B05-0837	2B05_0837
2B05-0840	2B05_0840
6B04-0007	6B04_0007
6B04-0016	6B04_0016
6B04-0031	6B04_0031
6B04-0045	6B04_0045
6B04-0075	6B04_0075
6B04-0109	6B04_0109
6B04-0151	6B04_0151
6B04-0178	6B04_0178
6B04-0183	6B04_0183
6B04-0188	6B04_0188
6B04-0290	6B04_0290
6B04-0408	6B04_0408
6B04-0415	6B04_0415
6B04-0421	6B04_0421
6B04-0429	6B04_0429
6B04-0441	6B04_0441
6B04-0443	6B04_0443
6B04-0523	6B04_0523
6B05-0572	6B05_0572
6B05-0578	6B05_0578
6B05-0590	6B05_0590
6B05-0625	6B05_0625
6B05-0671	6B05_0671
6B05-0680	6B05_0680
6B05-0712	6B05_0712
6B05-0716	6B05_0716
6B05-0717	6B05_0717
6B05-0734	6B05_0734
6B05-0746	6B05_0746
6B05-0752	6B05_0752
6B05-0788	6B05_0788
6B05-0818	6B05_0818
6B05-0820	6B05_0820
6B05-0825	6B05_0825
6B05-0837	6B05_0837
6B05-0842	6B05_0842
6B05-0881	6B05_0881
6B05-0916	6B05_0916
6B05-0922	6B05_0922
6B05-0924	6B05_0924
6B05-0933	6B05_0933
6B05-0974	6B05_0974
6B05-0992	6B05_0992
6B05-0998	6B05_0998
6B05-1003	6B05_1003
6B05-1005	6B05_1005
6B05-1009	6B05_1009
6B05-1053	6B05_1053
6B05-1056	6B05_1056
2B06-0920	2B06_0920
2B06-0929	2B06_0929
2B06-0931	2B06_0931
2B06-0933	2B06_0933
2B06-0996	2B06_0996
2B06-1000	2B06_1000
